"","sampleID","variable","value","compartment","model_fit","trait","conditions","TukeyHSD"
"224","E3.2.Tur.reni.1.20150124","M_neutral",0.284916201117318,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"225","E3.2.Tur.reni.2.20150124","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"226","E3.3.Por.cyli.1.20150123","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"227","E3.3.Por.cyli.1.20150127","M_neutral",0.93984962406015,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"228","E3.4.Pac.rugo.1.20150127","M_neutral",0.448275862068966,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"229","E3.4.Pac.spec.1.20150128","M_neutral",0.858585858585859,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"230","E3.4.Pac.spec.1.20150129","M_neutral",0.257352941176471,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"231","E3.5.Gal.astr.2.20150124","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"232","E3.5.Gal.astr.2.20150127","M_neutral",0.732394366197183,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"233","E3.6.Acr.hyac.1.20150105","M_neutral",0.248484848484848,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"234","E3.6.Acr.hyac.1.20150106","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"235","E3.6.Acr.hyac.1.20150118","M_neutral",0.483050847457627,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"236","E3.6.Acr.hyac.1.20150120","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"237","E3.6.Acr.hyac.1.20150121","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"238","E3.6.Acr.hyac.1.20150123","M_neutral",0.231788079470199,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"239","E3.6.Acr.hyac.2.20150105","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"240","E3.6.Acr.hyac.2.20150106","M_neutral",0.226890756302521,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"241","E3.6.Acr.hyac.2.20150120","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"242","E3.6.Acr.hyac.2.20150121","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"243","E3.6.Acr.hyac.2.20150123","M_neutral",0.202453987730061,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"244","E3.6.Acr.hyac.3.20150105","M_neutral",0.648148148148148,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"245","E3.6.Acr.hyac.3.20150120","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"246","E3.6.Acr.hyac.3.20150123","M_neutral",0.154471544715447,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
