"id","1256-273-P2-T","1256-276-P5-T","1256-287-P6-T","1256-290-P7-T","1256-293-P8-T","1256-297-P11-T","1256-300-P12-T","1256-304-P479-T","1256-312-P483-T","1256-322-P489-T","1256-325-P493-T","1256-327-P494-T","1256-329-P496-T","1256-331-P497-T","1256-334-P499-T","1256-339-P503-T","1256-343-P507-T","1256-345-P508-T","1256-347-P509-T","1256-349-P510-T","1256-351-P511-T"
"3d2eb4a301c33043083353f9be9e55d7",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"f90e7dbf3845a84bef5db95f9f868dfa",0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0
"5c9a3d6ac22fb4e80dbf9ce28b0588ba",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"423f2d08f4f6ca42d40171e9e195304a",0,0,0,0,0,0,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0
"0660b8b3c6aee11e6a7a3a6bd9937cfb",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"cb5dcb89c5f0488067603b80bb07eab7",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"408781d32b6d66ad1c3c4853e08cde66",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"77d4519af46c1fcb37b39fa080486a6c",0,2,0,0,0,2,0,2,1,1,6,4,2,0,0,0,0,5,0,4,1
"83958f9f7715af912d72049591eebc62",67,14,0,25,14,0,0,19,38,5,26,6,12,0,20,0,0,12,27,15,1
"e51e129e38bf0a595109ca098a0c16f8",10,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
"21ebb322c4599587c694725d314c10cc",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"e8ee57b959bf792bc9cd09068f539b05",0,0,7,0,2,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
"dbe154fab26b7f9d4451146c0e9b4e61",0,0,0,2,1,0,0,2,3,1,2,3,0,0,11,0,0,0,0,0,0
"df3aaa860ed2c625e7016a3c4b6fe89b",0,8,0,0,0,0,0,19,0,2,36,0,0,1,0,0,0,0,0,0,2
"5818e3da716fb607638a6e069b0960be",0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ff90dda94eb3bcd9f452079e366e2308",11,1,1,4,0,0,0,0,23,0,25,0,0,0,0,0,0,1,0,5,0
"28c9f2a9e09667bebdf01a9b50bd26d2",11,1,0,0,3,0,0,0,6,0,2,0,0,0,0,0,0,0,2,0,0
"4dc930ae8444d94e631e36628351e5d0",5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"cce6951a3ac86c0693bb7b97356050b6",1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"341218ace88d00f93e12c630b4e67fde",4,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12
"ba7db8d32c1832300da7811b03751ec7",12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,36,0,0,0,0
"75d3443d011fbf3bc83730c7d1c081d9",7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"1c8628f41ca9175bb599c05d0aa35d1a",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"5a121b7460f54963f16663670765fc00",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0,3,0,0
"19e79c056267c4b025173c8199e0cba6",15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"02e77b66e935aa66f35f82d2126d2c0e",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"c0e9873e2ae9aa68b2956e3fe1b9acc6",12,0,12,0,2,0,0,2,1,2,2,0,0,0,73,0,0,0,2,4,0
"7b51298e6daef124d3054cd6c99c6178",0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"fd3990e8eac1f12d3b59ac3f87114d3f",0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"662ffc7103cbf74551ee0995642a7cd4",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7cc9b78bae22a8fcfec313eae246d463",0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"291a641500688ac847916d31d4cec17f",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2d1d6ab313595af53c985dee72a7b35b",13,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1654aecb3175ebbe4a5100e52e660010",3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38875f386e18ddf0482762e7da2728d3",9,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"f927a001d628b09771da469b6714e08d",0,0,0,0,0,0,0,5,0,3,2,0,0,2,0,0,0,0,0,0,0
"fb0cc46c80a0067077e4805ea8dcc704",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"443b1eb87de7657863a532df6dc8d2be",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"47db61633a426ab8750289e640a9c58d",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68714dc7a862ee55ee98e12bac026823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"5fae875260a6220e59371b9f1ea5a97f",6,12,0,21,0,1,0,2,7,0,6,6,3,3,50,0,78,9,0,0,0
"b2556f25c52ad509c8c826e7de737796",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2a4b320d4f8b76572bbd121e22adf610",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6b79b61b75e58afd9c16002bb8fbe2ab",0,18,6,10,1,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0
"f8136d0ee06ca2647083c93b1fbdbaed",0,2,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
"72085b4c312d5930dfbe1ca3c9788b37",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
"b711d8e7cf96358c392a89a3987e0f6f",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"a07c96510f8e2a533130cf46659c71ae",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c6ef3279cc865f75caf7a4af273b5ed6",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"1ec21c3c58e5b7c82df010f17e4761e6",0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0
"5ac9fe6db96ce074c47ae6f50191a2f0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
"829a53f3c1730d592a74f04b2345775e",6,20,11,15,6,0,0,5,2,3,11,8,5,2,20,0,0,0,6,0,0
"7bcfd273ab539747222bee3114ac0f4c",12,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
"b5d804085679656c2e9b1c8ab0b1ac29",0,8,122,93,0,0,0,0,0,2,1,0,0,0,7,0,0,0,0,2,0
"468a97c754c2ffad7fd6f9e15c42c562",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3e08373fd6a0e440d22c9b3c894921af",0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
"25fdc0ac80b596ca41f3f3e62c773b5d",0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"cd8fbdc53bd523371b350f5155840918",11,4,0,0,1,0,0,2,1,0,0,8,0,0,0,0,0,0,0,0,12
"93ef901db7dcf415999eec0f9b915d24",0,0,25,0,0,0,0,2,0,1,106,107,0,0,0,0,107,164,0,635,126
"8b9cb02c9f5da7a83d1332e7f2f4b0d5",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0
"34af89cb6372ca4dfde18f1ea1159882",0,0,5,14,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0
"6757810f739729129be3efabbd0d0de9",50,27,0,2,8,0,0,0,35,0,1,12,4,0,0,0,0,4,9,0,0
"57f8ce0b6379341b67d5ea95bee3cf66",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6c37c2413df21b5e5a16e2f912d17852",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,33,0,0,0,0
"46119b506afb7928c6185439f1f3f2ee",17,8,0,3,16,0,0,24,26,2,16,2,0,0,0,0,0,0,6,0,0
"f26210e3930c1bd543c8061ef57b54c7",0,3,24,0,0,1,0,0,0,0,0,5,0,0,84,0,0,0,42,1,0
"c1b32f286759c6dc10794fff95e0b1ac",0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"c11eb87ea6e23329224e97fd1af88ecc",118,33,84,31,122,54,0,189,48,6,88,171,54,46,109,0,0,0,0,4,10
"9e2ab45e989f300b0951d14060e9ee26",0,0,0,0,0,2,0,1,0,2,3,5,0,0,0,0,0,0,0,1,0
"b201eddfc2ce131e76a1630c1e8e62dc",41,11,0,0,9,0,0,0,0,0,0,34,0,0,0,0,0,0,10,0,1
"cace193e26eafd92cfb0ff0adecf8012",4,0,0,6,5,1,0,0,0,7,6,14,5,0,0,0,0,0,0,0,0
"f52bcde0b1f9314149454c7ec9b0f9ee",0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,2,3,0,0
"9571b2cd0fab16271be92aa82f4e42b5",0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0
"e97f0affce3202e8837d4a45afe43c76",0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"cb328f01ab17cbbfa3c341a2fa39be9c",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"80d2989300c1541c41da37dc05f30870",0,0,0,0,0,0,0,0,1,0,5,10,0,0,0,0,0,0,0,0,0
"d4f34dfdb7697c3cfe6cfdc7273b3130",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"dd02243c4135db68834b9e0d5666e310",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"556324a02157c84309b8a0b302a1c559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"b49c02fa8fb329b56e4cf8b354876c78",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"34ccfbe8a7d3618a34915f2e8aa620bf",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"8aa970ec13f25827f2952faa36e6134d",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"75586b088d39e225f41e67684ffbacbf",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"c44e475e189180a2806a479144ac1643",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
"4663b0c00144eef84486923ec23e6055",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"f2f2f38b32e31ce777eb5788432926d6",5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,5,0,0
"8ba8f206fb5b2a22a2c218942d870acf",0,0,0,37,0,0,0,0,0,0,0,0,0,8,12,76,0,0,0,0,0
"7e425bcad55ce78885b59897a9a608f4",0,0,0,0,0,6,0,0,0,0,0,1,0,16,0,0,8,0,0,0,0
