"id","1256-202-HI6-T","1256-205-HI7-T","1256-208-HI8-T","1256-211-HI10-T","1256-218-HI58-T","1256-221-HI59-T","1256-224-HI60-T","1256-227-HI61-T","1256-237-HI64-T","1256-240-HI65-T","1256-246-HI67-T","1256-253-HI69-T","1256-258-HIA-T","1256-267-HID-T","1256-277-HIE-T"
"d50c76309e68a5864e379e1bf04e4347",0,7,0,0,0,13,0,5,0,0,0,23,0,0,0
"9b607b97afade9ad9b2c2a34c3d2b4d0",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"0afb606fef4e3626983561132a6a4626",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"8107d560dfe4841e77ffa9c4613e382a",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"2090a887397d9166d1c46fd5ecb203bb",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"7414de07e246b3e087855c7899ba1504",0,0,0,57,1,0,0,0,0,0,0,0,0,0,7
"b7e80023045d42995293ad96970043ec",0,0,0,0,0,13,0,0,0,0,0,0,0,26,1
"db2848b5ddf00d5348d99c52b3d6e88b",0,0,0,0,0,15,0,0,0,0,0,0,0,5,0
"9a7b8350e2e8e6769b042c1aefbbf214",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"1c80cacf65c2f6e64c735ae9dedb117d",0,0,0,0,0,0,0,0,0,0,0,1,0,11,0
"970345bbda0255e925bd77a3bb4671f3",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"5012a8363f1b102a086a6bb6c03aecde",0,0,0,0,0,0,0,1,0,1,0,2,0,14,0
"75098f5b0c403e7f12d82119d4a2fd3a",0,17,17,82,24,61,0,0,5,0,0,0,0,0,6
"08f84e63f6d9aab2886313ca75c32d0c",1,0,0,0,0,0,9,6,1,7,9,0,0,7,0
"1ffac6a5cfb550c669d124d1fe298e38",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"e5209064927bc4b77d42e1b1867966d0",0,0,0,0,0,0,56,3,0,0,0,2,9,0,0
"3a79dfbdf6d18e988674fc75b912f595",0,5,0,0,0,0,4,0,0,0,0,0,0,0,0
