pseudo_sampleID	expedition_number	host_scientific_name	neutrality	compartment	compartment_neutrality
1256-131-PW174-T_below	E11	Pavona gigantea	below	Tissue	Tissue_below
1256-136-PW176-T_below	E11	Pavona gigantea	below	Tissue	Tissue_below
1256-139-PW177-T_below	E11	Porites panamensis	below	Tissue	Tissue_below
1256-142-PW178-T_below	E11	Porites panamensis	below	Tissue	Tissue_below
1256-147-PW182-T_below	E11	Tubastraea sp	below	Tissue	Tissue_below
1256-151-PW183-T_below	E11	Pavona gigantea	below	Tissue	Tissue_below
1256-154-PW185-T_below	E11	Psammocora stellata	below	Tissue	Tissue_below
1256-157-PW186-T_below	E11	Psammocora stellata	below	Tissue	Tissue_below
1256-160-PW187-T_below	E11	Psammocora stellata	below	Tissue	Tissue_below
1256-168-PW192-T_below	E11	Pocillopora damicornis	below	Tissue	Tissue_below
1256-171-PW193-T_below	E11	Gardineroseris planulata	below	Tissue	Tissue_below
1256-174-PW194-T_below	E11	Porites lobata	below	Tissue	Tissue_below
1256-177-PW195-T_below	E11	Pocillopora elegans	below	Tissue	Tissue_below
1256-180-PW197-T_below	E11	Porites lobata	below	Tissue	Tissue_below
1256-189-PW201-T_below	E11	Pocillopora elegans	below	Tissue	Tissue_below
1256-192-PW202-T_below	E11	Pocillopora elegans	below	Tissue	Tissue_below
1256-195-PW203-T_below	E11	Pavona varians	below	Tissue	Tissue_below
1256-202-HI6-T_below	E15	Porites lobata	below	Tissue	Tissue_below
1256-205-HI7-T_below	E15	Montipora capitata	below	Tissue	Tissue_below
1256-208-HI8-T_below	E15	Pocillopora meandrina	below	Tissue	Tissue_below
1256-211-HI10-T_below	E15	Pocillopora meandrina	below	Tissue	Tissue_below
