"id","1256-103-PW164-T","1256-106-PW165-T","1256-109-PW166-T","1256-112-PW167-T","1256-115-PW168-T","1256-119-PW169-T","1256-122-PW170-T","1256-125-PW171-T","1256-128-PW172-T","1256-131-PW174-T","1256-136-PW176-T","1256-139-PW177-T","1256-142-PW178-T","1256-147-PW182-T","1256-151-PW183-T","1256-154-PW185-T","1256-157-PW186-T","1256-160-PW187-T","1256-168-PW192-T","1256-171-PW193-T","1256-174-PW194-T","1256-177-PW195-T","1256-180-PW197-T","1256-189-PW201-T","1256-192-PW202-T","1256-195-PW203-T"
"9b8e8d1079c0f5c696571f33bc53ce70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"229c3f39a9613d0bd32d1376f39889f3",0,0,0,0,0,0,0,10,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"c3c79b3dccf3be79d68ed06eab55ce3d",0,0,8,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
"dfe9a3c325135f454a1fe6b6059a6a99",3,0,3,3,0,2,2,2,0,0,3,4,2,8,0,2,3,2,0,35,7,0,0,0,0,0
"d381cc4e61b5205cf9f4bc33595f69d9",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"30040df90f932384a172f443c3ef50d2",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"1be35c25874e1f56383841ae6bccfd46",0,0,1,0,0,0,0,0,7,29,0,1,0,5,10,1,5,8,128,0,0,1,0,149,32,11
"92ea04e5f99479c6e135a2ccfcb54902",0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"890449237ade1d05073cd71e4319f50f",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34d4422811f7a414dcc34acbc5383b1b",0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8f83e217ec9fd4af63f0e846a38c089d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,2,1
"fa3f1e8674b1f62287fafd8bfcc21e9c",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"46996a1d39893c2afb2be13f14d956fd",13,34,3,0,8,0,0,0,0,33,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0
"6a7f92824e276aa67b8f218225dd0ed8",0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
